InstitutionID	InstitutionName	State_ID	Mesoregion_ID	Microregion_ID	Municipality_ID	Municipality_Name
000600000001	PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL	43	430005	430026	4314902	Porto Alegre
867100000004	UNIVERSIDADE FEDERAL DE ALFENAS	31	310010	310049	3101607	Alfenas
000200000993	INSTITUTO DE MEDICINA INTEGRAL PROF FERNANDO FIGUEIRA	26	260005	260017	2611606	Recife
121100000001	CENTRO UNIVERSITARIO FRANCISCANO	43	430003	430018	4316907	Santa Maria
033400000004	UNIVERSIDADE FEDERAL DE OURO PRETO	31	310007	310033	3146107	Ouro Preto
425500000000	CENTRO UNIVERSITARIO DA GRANDE DOURADOS	50	500004	500010	5003702	Dourados
006200000003	UNIVERSIDADE FEDERAL DE SAO PAULO	35	350015	350061	3550308	São Paulo
024700000000	INSTITUTO ADOLFO LUTZ	35	350015	350061	3550308	São Paulo
006700000002	UNIVERSIDADE DE SAO PAULO	35	350015	350061	3550308	São Paulo
198100000000	UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA	41	410010	410037	4106902	Curitiba
000100000991	MATERNIDADE DE CAMPINAS	35	350007	350032	3509502	Campinas
002400000993	UNIDADE DE EMERGENCIA DO HOSPITAL DAS CLINICAS FMRP USP	35	350002	350014	3543402	Ribeirão Preto
000200000993	BUISSA E SILVESTRO LTDA ME	11	110002	110006	1100049	Cacoal
010300000003	UNIVERSIDADE FEDERAL DO PARANA	41	410010	410037	4106902	Curitiba
002100000009	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260005	260017	2611606	Recife
064100000009	GOVERNO DO ESTADO DO PARANA	41	410010	410037	4106902	Curitiba
985600042223	SENAI DEPARTAMENTO REGIONAL DO RIO GRANDE DO SUL	43	430005	430026	4314902	Porto Alegre
007900000004	UNIVERSIDADE ESTADUAL DE CAMPINAS	35	350007	350032	3509502	Campinas
019200000005	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	43	430005	430026	4314902	Porto Alegre
007000000008	UNIVERSIDADE FEDERAL DE SERGIPE	28	280003	280011	2806701	São Cristóvão
033300000002	UNIVERSIDADE FEDERAL DE MINAS GERAIS	31	310007	310030	3106200	Belo Horizonte
087000000006	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	50	500002	500004	5002704	Campo Grande
003900000001	FUNDACAO OSWALDO CRUZ	33	330006	330018	3304557	Rio de Janeiro
001700000990	CENTRO UNIVERSITARIO ESTACIO DO CEARA UNIDADE VIA CORPVS	23	230003	230016	2304400	Fortaleza
000100000991	CONSULTORIO DE PSICOTERAPIA	35	350015	350061	3550308	São Paulo
033700000000	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	24	240004	240018	2408102	Natal
000300000006	UNIVERSIDADE FEDERAL DE LAVRAS	31	310011	310057	3138203	Lavras
000100000991	BCM ASSISTENCIA MEDICA S A	35	350013	350050	3549904	São José dos Campos
006700000002	UNIVERSIDADE DE SAO PAULO	35	350007	350029	3539301	Pirassununga
007400000005	FUNDACAO CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOMUNICACOES	35	350007	350032	3509502	Campinas
003000000005	FUNDACAO DE CIENCIA E TECNOLOGIA	43	430005	430026	4314902	Porto Alegre
082000000005	CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO PINHEIROS	35	350015	350061	3550308	São Paulo
004300000009	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42	420005	420016	4205407	Florianópolis
J13N00000005	BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL	33	330006	330018	3304557	Rio de Janeiro
032900000005	UNIVERSIDADE ESTADUAL DE MARINGA	41	410003	410009	4115200	Maringá
000100000991	SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL	35	350002	350012	3516200	Franca
004900000999	UNIVERSIDADE DO ESTADO DE SANTA CATARINA UDESC	42	420001	420002	4204202	Chapecó
004400000000	UNIVERSIDADE FEDERAL DO PARA	27	270002	270005	2700805	Belém
769300000008	INSTITUTO TECNOLOGICO DE AERONAUTICA	35	350013	350050	3549904	São José dos Campos
501600000001	UNIVERSIDADE LUTERANA DO BRASIL	43	430005	430026	4304606	Canoas
985601000990	SECRETARIA MUNICIPAL DE SAUDE DE JUAZEIRO DO NORTE	23	230007	230032	2307304	Juazeiro do Norte
024000000008	UNIVERSIDADE DE BRASILIA	53	530001	530001	5300108	Brasília
020200000009	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	33	330006	330018	3304557	Rio de Janeiro
IZF500000008	NEODENT IMPLANTES OSSEOINTEGRAVEIS	41	410010	410037	4106902	Curitiba
008400000003	INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA	13	130003	130007	1302603	Manaus
001501001016	NUCLEO DE FABRICACAO	31	310005	310018	3170206	Uberlândia
061400000000	UNIVERSIDADE DE PERNAMBUCO	26	260005	260017	2611606	Recife
032600000000	UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO	33	330006	330018	3304557	Rio de Janeiro
062200000004	UNIVERSIDADE FEDERAL DO ACRE	51	510003	510014	5107206	Rio Branco
117800000006	PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS	31	310007	310030	3106200	Belo Horizonte
081100000009	UNIVERSIDADE DE CAXIAS DO SUL	43	430002	430016	4305108	Caxias do Sul
033500000006	UNIVERSIDADE FEDERAL DE SAO CARLOS	42	420001	420002	4216008	São Carlos
033200000000	UNIVERSIDADE FEDERAL DE MATO GROSSO	51	510001	510007	5107909	Sinop
192900000005	UNIVERSIDADE DO ESTADO DO PARA	27	270002	270005	2700805	Belém
616600000006	INSTITUTO ESPERANCA DE ENSINO SUPERIOR	15	150001	150002	1506807	Santarém
586600000000	UNIVERSIDADE VEIGA DE ALMEIDA	33	330004	330010	3300704	Cabo Frio
001200000991	HOSPITAL UNIVERSITARIO MARIA APARECIDA PEDROSSIAN	50	500002	500004	5002704	Campo Grande
