InstitutionID	InstitutionName	State_ID	Mesoregion_ID	Microregion_ID	Municipality_ID	Municipality_Name
000100000002	UNIVERSIDADE FEDERAL DO MARANHAO	21	210001	210002	2111300	São Luís
000101000995	UNIVERSIDADE ESTADUAL DE GOIAS	52	520003	520007	5201108	Anápolis
000102001995	SERVICO DE FISIOTERAPIA	35	350015	350061	3550308	São Paulo
000103000003	UNIVERSIDADE FEDERAL DO MARANHAO	21	210001	210002	2111300	São Luís
000104000007	UNIVERSIDADE FEDERAL DO MARANHAO	21	210001	210002	2111300	São Luís
000200000004	FACULDADE DE MEDICINA DO TRIANGULO MINEIRO	31	310005	310022	3170107	Uberaba
000200000993	A C CAMARGO CANCER CENTER	35	350015	350061	3550308	São Paulo
000203000994	NUCLEO PSICANALíTICO DE FORTALEZA	35	350003	350017	3556305	Valparaíso
000211000000	UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO	31	310005	310022	3170107	Uberaba
000300000006	UNIVERSIDADE FEDERAL DE LAVRAS	31	310011	310057	3138203	Lavras
000400000008	FUNDACAO GETULIO VARGAS	33	330006	330018	3304557	Rio de Janeiro
000500000000	UNIVERSIDADE FEDERAL FLUMINENSE	33	330006	330018	3303302	Niterói
000501000003	UNIVERSIDADE FEDERAL FLUMINENSE	33	330006	330018	3304557	Rio de Janeiro
000501000992	UNIVERSIDADE FEDERAL FLUMINENSE	33	330006	330018	3303302	Niterói
000501001018	DEPARTAMENTO DE MORFOLOGIA	33	330006	330018	3303302	Niterói
000502000007	UNIVERSIDADE FEDERAL FLUMINENSE	33	330006	330018	3303302	Niterói
000502000996	UNIVERSIDADE FEDERAL FLUMINENSE	33	330006	330018	3304557	Rio de Janeiro
000503000990	UNIVERSIDADE FEDERAL FLUMINENSE	33	330006	330018	3303302	Niterói
000600000001	PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL	43	430005	430026	4314902	Porto Alegre
000601000994	PONTIFíCIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL	43	430005	430026	4314902	Porto Alegre
000609000004	PONTIFíCIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL	43	430005	430026	4314902	Porto Alegre
000611000008	PONTIFíCIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL	43	430005	430026	4314902	Porto Alegre
000618000003	PONTIFíCIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL	43	430005	430026	4314902	Porto Alegre
000621000000	PONTIFíCIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL	43	430005	430026	4314902	Porto Alegre
000700000003	INSTITUTO DE PESQUISAS TECNOLOGICAS DO ESTADO DE SAO PAULO	35	350015	350061	3550308	São Paulo
000900000007	UNIVERSIDADE DO VALE DO RIO DOS SINOS	43	430005	430026	4318705	São Leopoldo
000902000004	UNIVERSIDADE DO VALE DO RIO DOS SINOS	43	430005	430026	4318705	São Leopoldo
000906000009	UNIVERSIDADE DO VALE DO RIO DOS SINOS	43	430005	430026	4314902	Porto Alegre
001001000991	FACULDADE PAULO VI	27	270002	270005	2700805	Belém
001200000002	OBSERVATORIO NACIONAL	33	330006	330018	3304557	Rio de Janeiro
001201000995	INSTITUTO SUPERIOR DE CIENCIAS SOCIAIS E RELACOES INTERNACIONAIS	23	230003	230016	2304400	Fortaleza
001301000997	SECRETARIA DE POLITICAS E PROGRAMAS DE PESQUISA E DESENVOLVIMENTO	53	530001	530001	5300108	Brasília
001302000990	PESQUISA E DESENVOLVIMENTO	41	410010	410037	4125506	São José dos Pinhais
001400000006	FUNDACAO EZEQUIEL DIAS	31	310007	310030	3106200	Belo Horizonte
001500000008	UNIVERSIDADE FEDERAL DE UBERLANDIA	31	310005	310018	3170206	Uberlândia
001501000001	UNIVERSIDADE FEDERAL DE UBERLANDIA	31	310005	310018	3170206	Uberlândia
001700000001	UNIVERSIDADE FEDERAL RURAL DA AMAZONIA	27	270002	270005	2700805	Belém
001701000994	HOSPITAL DAS CLINICAS DA FMUSP	35	350015	350061	3550308	São Paulo
001710000004	UNIVERSIDADE FEDERAL RURAL DA AMAZONIA	27	270002	270005	2700805	Belém
001800000003	INSTITUTO GEOLOGICO DO ESTADO DE SAO PAULO	35	350015	350061	3550308	São Paulo
001900000005	LABORATORIO NACIONAL DE COMPUTACAO CIENTIFICA	33	330006	330015	3303906	Petrópolis
001901000998	LABORATORIO DE PLANTAS MEDICINAIS	13	130003	130007	1302603	Manaus
002000000007	FUNDACAO FORD	33	330006	330018	3304557	Rio de Janeiro
002100000009	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260005	260017	2611606	Recife
002101000991	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260004	260014	2616407	Vitória de Santo Antão
002102000006	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260005	260017	2611606	Recife
002103000000	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260005	260017	2611606	Recife
002104000003	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260005	260017	2611606	Recife
002105000007	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260005	260017	2611606	Recife
002106000000	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260005	260017	2611606	Recife
002108000008	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260005	260017	2611606	Recife
002110000001	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260005	260017	2611606	Recife
002111000005	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260005	260017	2611606	Recife
002115000000	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26	260005	260017	2611606	Recife
002300000002	INSTITUTO ESTADUAL DE FLORESTAS DE MINAS GERAIS	31	310007	310027	3167202	Sete Lagoas
002400000004	UNIVERSIDADE VALE DO RIO DOCE	31	310008	310037	3127701	Governador Valadares
002500000006	CENTRO BRASILEIRO DE PESQUISAS FISICAS	33	330006	330018	3304557	Rio de Janeiro
002600000008	INSTITUTO BRASILEIRO DE INFORMACAO EM CIENCIA E TECNOLOGIA	33	330006	330018	3304557	Rio de Janeiro
002700000000	INSTITUTO FEDERAL DA BAHIA	29	290007	290032	2925303	Porto Seguro
002800000001	UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI CAMPUS JK	31	310003	310010	3121605	Diamantina
002900000003	MUSEU PARAENSE EMILIO GOELDI	27	270002	270005	2700805	Belém
002901000996	MUSEU PARAENSE EMíLIO GOELDI	27	270002	270005	2700805	Belém
003000000005	FUNDACAO DE CIENCIA E TECNOLOGIA	43	430005	430026	4314902	Porto Alegre
003200000009	CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA	35	350015	350061	3550308	São Paulo
003900000001	FUNDACAO OSWALDO CRUZ	33	330006	330018	3304557	Rio de Janeiro
003901000005	FUNDACAO OSWALDO CRUZ	33	330006	330018	3304557	Rio de Janeiro
003901000994	FUNDACAO OSWALDO CRUZ	33	330006	330018	3304557	Rio de Janeiro
003905000000	FUNDACAO OSWALDO CRUZ	33	330006	330018	3304557	Rio de Janeiro
003908000000	FUNDACAO OSWALDO CRUZ	33	330006	330018	3304557	Rio de Janeiro
004000000003	UNIVERSIDADE ESTADUAL DO CEARA	23	230003	230016	2304400	Fortaleza
004004000997	UNIVERSIDADE ESTADUAL DO CEARA	23	230003	230016	2304400	Fortaleza
004005000001	UNIVERSIDADE ESTADUAL DO CEARA	23	230003	230016	2304400	Fortaleza
004006000005	UNIVERSIDADE ESTADUAL DO CEARA	23	230003	230016	2304400	Fortaleza
004100000005	ASSOCIACAO BRASILEIRA DE TECNOLOGIA DE LUZ SINCROTRON	35	350007	350032	3509502	Campinas
004200000007	FUNDACAO CENTRO TECNOLOGICO DE MINAS GERAIS	31	310007	310030	3106200	Belo Horizonte
004300000009	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42	420005	420016	4205407	Florianópolis
004301000991	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42	420005	420016	4205407	Florianópolis
004304000003	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42	420005	420016	4205407	Florianópolis
004305000007	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42	420005	420016	4205407	Florianópolis
004305000996	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42	420005	420016	4205407	Florianópolis
004306000000	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42	420005	420016	4205407	Florianópolis
004310000001	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42	420005	420016	4205407	Florianópolis
004318000990	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42	420005	420016	4205407	Florianópolis
004400000000	UNIVERSIDADE FEDERAL DO PARA	27	270002	270005	2700805	Belém
004401000993	UNIVERSIDADE FEDERAL DO PARA	27	270002	270005	2700805	Belém
004402000008	UNIVERSIDADE FEDERAL DO PARA	27	270002	270005	2700805	Belém
004408000000	UNIVERSIDADE FEDERAL DO PARA	27	270002	270005	2700805	Belém
004409000003	UNIVERSIDADE FEDERAL DO PARA	27	270002	270005	2700805	Belém
004410000003	UNIVERSIDADE FEDERAL DO PARA	27	270002	270005	2700805	Belém
004500000002	UNIVERSIDADE FEDERAL DE PELOTAS	43	430007	430033	4314407	Pelotas
004503000992	UNIVERSIDADE FEDERAL DE PELOTAS	43	430007	430033	4314407	Pelotas
004504000996	UNIVERSIDADE FEDERAL DE PELOTAS	43	430007	430033	4314407	Pelotas
004505000000	UNIVERSIDADE FEDERAL DE PELOTAS	43	430007	430033	4314407	Pelotas
004506000004	UNIVERSIDADE FEDERAL DE PELOTAS	43	430007	430033	4314407	Pelotas
004507000008	UNIVERSIDADE FEDERAL DE PELOTAS	43	430007	430033	4314407	Pelotas
004511000009	UNIVERSIDADE FEDERAL DE PELOTAS	43	430007	430033	4314407	Pelotas
004516000007	UNIVERSIDADE FEDERAL DE PELOTAS	43	430007	430033	4314407	Pelotas
004523000009	UNIVERSIDADE FEDERAL DE PELOTAS	43	430007	430033	4304663	Capão do Leão
004700000006	CENTRO DE PESQUISA E DESENVOLVIMENTO LEOPOLDO AMERICO MIGUEZ DE MELLO	33	330006	330018	3304557	Rio de Janeiro
005000000001	PETROBRAS QUIMICA S A	29	290005	290021	2927408	Salvador
005200000005	MUSEU DE ASTRONOMIA E CIENCIAS AFINS	33	330006	330018	3304557	Rio de Janeiro
005800000006	ASSOCIACAO INSTITUTO NACIONAL DE MATEMATICA PURA E APLICADA	33	330006	330018	3304557	Rio de Janeiro
005900000008	UNIVERSIDADE ESTADUAL DE PONTA GROSSA	41	410005	410021	4119905	Ponta Grossa
005901000001	UNIVERSIDADE ESTADUAL DE PONTA GROSSA	41	410005	410021	4119905	Ponta Grossa
006000000000	TELEBRAS TELECOMUNICACOES BRASILEIRAS	53	530001	530001	5300108	Brasília
006100000001	FUNDACAO GETULIO VARGAS SP	35	350015	350061	3550308	São Paulo
